group,tensor,shape,dtype,bytes,sha256
G0002,tensors/G0002.pt,"96,3,224,224",uint8,14452187,118639a79de669a61529cd2ec5f21ae935cccda3e4116befb6077e5354d2d33b
G0003,tensors/G0003.pt,"96,3,224,224",uint8,14452187,f67561f6ed9db3234e7eb8dae0ef1f4b27d8ecec3fca6469ac8b851f737fbccc
G0006,tensors/G0006.pt,"96,3,224,224",uint8,14452187,2b93976819de77a11121d7ac4e6c5acc27e21631688281443ec6005ada6f5f9b
G0008,tensors/G0008.pt,"96,3,224,224",uint8,14452187,920193ee3e369d1d5bfacac3f3b129aa72199035d80cfcac224fe9565d31b3dd
G0009,tensors/G0009.pt,"96,3,224,224",uint8,14452187,ade853c355223e676fd2c152caa9e963d029e07eba15b233d3ecf6d6eec7d25a
G0010,tensors/G0010.pt,"96,3,224,224",uint8,14452187,dc7c0f8076a27515a9e0f349c06e293521721836f46a87637c599ffa2c029981
G0012,tensors/G0012.pt,"96,3,224,224",uint8,14452187,0c36cf268e12a857e732ab5c92a1377c107bdd36442c38cf539e236308d182e9
G0013,tensors/G0013.pt,"96,3,224,224",uint8,14452187,e26837dacb6a8668eb8862c5b695216357436618de2f896941d7e7432021d7cf
G0015,tensors/G0015.pt,"96,3,224,224",uint8,14452187,691d3ef3a094f38fcb886cae1127e96fc6a4920164ea8a9e00ad913f124f379c
G0017,tensors/G0017.pt,"96,3,224,224",uint8,14452187,2d39dbdbe606239428699f4eea06353cd9663ec19ea49bc84d190d7e0dbb7345
G0018,tensors/G0018.pt,"96,3,224,224",uint8,14452187,b6199b2fe7541328440d178099908293d5bc3ac2b78542db6ce5d4ac7af042a8
G0019,tensors/G0019.pt,"96,3,224,224",uint8,14452187,65094559c593a7c3e3a75e6c4b7be90454ab288ef4c21ac6d5ed122ad266ece5
G0020,tensors/G0020.pt,"96,3,224,224",uint8,14452187,448f3af0a146b4cf4bd20ae717e1f16917329a1d7d38d01299d94c6199a115c6
G0021,tensors/G0021.pt,"96,3,224,224",uint8,14452187,9e32ac258ae20adfe972c1c95476699fb1e5737c2de5e003af0329c0f89f2826
G0023,tensors/G0023.pt,"96,3,224,224",uint8,14452187,34e892a4cbdc0586385a09b6915be23cde1c38270514d2731c3b0b643fa30c82
G0024,tensors/G0024.pt,"96,3,224,224",uint8,14452187,69a42c238929079c88f5dbdf5ad2dd198b8306ab99a606335146cf23b25a7184
G0025,tensors/G0025.pt,"96,3,224,224",uint8,14452187,01206a1e63f80d45a2953402230d232b37be7eff98cb20314d0adef23b0fa6f7
G0026,tensors/G0026.pt,"96,3,224,224",uint8,14452187,794ff5defdf1dd989dcd42afd75c75f8314f5f2bc791b9d380fc247a967cfa5b
G0027,tensors/G0027.pt,"96,3,224,224",uint8,14452187,5f10e3e896c73da71646c73529ba6e3d6ac396b0275617f6cbec5bdd2020dd0a
G0028,tensors/G0028.pt,"96,3,224,224",uint8,14452187,3259918334bc2fe9dd18254a56aa24335f75fbca2ac34965368f5e8871503b57
G0030,tensors/G0030.pt,"96,3,224,224",uint8,14452187,3f762a1869362b513609bad12f26b76033ab418238d247f3219d2eac4b166f80
G0031,tensors/G0031.pt,"96,3,224,224",uint8,14452187,f925ce00e8395562691dc504b6216ea4e87cb4b37769c9d6272b1b56a925bb2b
G0037,tensors/G0037.pt,"96,3,224,224",uint8,14452187,4a67afe259c644b7eebb041861e94d214046a8d7ce646444eda6a3c5a3261e44
G0039,tensors/G0039.pt,"96,3,224,224",uint8,14452187,7a33209d45c75f30e976cf04b8216f550874733fdea2582caae13c899234d870
G0040,tensors/G0040.pt,"96,3,224,224",uint8,14452187,4226b1adcc88e02f71b9fe89a78e574fdd466fef90e38c279c022efd2da9c415
G0043,tensors/G0043.pt,"96,3,224,224",uint8,14452187,76c7d79dda677bb316e191609f0b5a1d62f45b86773ee55de8da4e7a175c1b32
G0044,tensors/G0044.pt,"96,3,224,224",uint8,14452187,c49006cdf745e057f261b77a6c167a97092edc131290f8fec248a8a7683bb9a0
G0046,tensors/G0046.pt,"96,3,224,224",uint8,14452187,e2e5d1b8de5e8306840ad0c6b050a3f1cc925c7d294366bb25019f2e0fdbf3f8
G0048,tensors/G0048.pt,"96,3,224,224",uint8,14452187,a9b87d6cf8750deebf7e1f15f6f4975a801033263d63a90ab57414154ed7dcaf
G0050,tensors/G0050.pt,"96,3,224,224",uint8,14452187,ffeec2ad3f8b266d35fccc886e638221cef12b45c12201863b9b244462685576
G0052,tensors/G0052.pt,"96,3,224,224",uint8,14452187,ddbe763669a25b2867f01b00c7eb8c4c60279212eef85b1a581c008e33ebc714
G0053,tensors/G0053.pt,"96,3,224,224",uint8,14452187,618488eb991d626f01085e5f2280c5f4eec88daf2853c4cb641a4e4a41898d39
G0054,tensors/G0054.pt,"96,3,224,224",uint8,14452187,4df96dcc07d09171d5ab8ae6ec4c92f8c995b5f97212d4be6a331dc37f150da1
G0057,tensors/G0057.pt,"96,3,224,224",uint8,14452187,54bb05c98b2236251c04a6b0938c66a0878f0212690acacce7c6648a69fb61b8
G0058,tensors/G0058.pt,"96,3,224,224",uint8,14452187,51617b76d93cd52982875d4694eceecc9e800d4aa66c16611c2ed299fb62406e
