epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
1,1.4689254653291637,0.4217687074829932,0.32,0.20106951871657755,0.14179894179894179,0.2182010582010582,"[0.8235294117647058, 0.18181818181818182, 0.0, 0.0, 0.0]","[[14, 2, 0, 1, 0], [8, 2, 0, 1, 0], [6, 2, 0, 1, 0], [7, 3, 0, 0, 0], [2, 1, 0, 0, 0]]"
2,1.4218500897186954,0.4557823129251701,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
3,1.4049261654315353,0.4421768707482993,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
4,1.3613430260598254,0.4557823129251701,0.3,0.18288770053475936,0.11655172413793105,0.18613793103448276,"[0.8235294117647058, 0.09090909090909091, 0.0, 0.0, 0.0]","[[14, 3, 0, 0, 0], [10, 1, 0, 0, 0], [7, 2, 0, 0, 0], [7, 3, 0, 0, 0], [3, 0, 0, 0, 0]]"
5,1.3031057737717011,0.46938775510204084,0.36,0.21818181818181817,0.13636363636363635,0.21181818181818182,"[1.0, 0.09090909090909091, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [10, 1, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
6,1.3492338395848567,0.47619047619047616,0.26,0.1850267379679144,0.13333333333333333,0.1958974358974359,"[0.47058823529411764, 0.45454545454545453, 0.0, 0.0, 0.0]","[[8, 9, 0, 0, 0], [6, 5, 0, 0, 0], [3, 6, 0, 0, 0], [3, 7, 0, 0, 0], [2, 1, 0, 0, 0]]"
7,1.190630832623665,0.54421768707483,0.26,0.2106951871657754,0.1317681584739545,0.178048422597212,"[0.23529411764705882, 0.8181818181818182, 0.0, 0.0, 0.0]","[[4, 11, 0, 2, 0], [2, 9, 0, 0, 0], [2, 7, 0, 0, 0], [3, 7, 0, 0, 0], [1, 2, 0, 0, 0]]"
8,0.9652517278532998,0.6462585034013606,0.36,0.245513963161022,0.20524216524216526,0.27568091168091174,"[0.8235294117647058, 0.18181818181818182, 0.2222222222222222, 0.0, 0.0]","[[14, 2, 1, 0, 0], [8, 2, 1, 0, 0], [5, 2, 2, 0, 0], [8, 2, 0, 0, 0], [2, 1, 0, 0, 0]]"
9,0.7777720585807549,0.7074829931972789,0.3,0.23770647653000596,0.2296150696150696,0.281981981981982,"[0.4117647058823529, 0.45454545454545453, 0.2222222222222222, 0.1, 0.0]","[[7, 7, 0, 3, 0], [5, 5, 1, 0, 0], [2, 4, 2, 1, 0], [4, 5, 0, 1, 0], [2, 1, 0, 0, 0]]"
10,0.539809514079433,0.8367346938775511,0.34,0.21283422459893048,0.1478927203065134,0.22475095785440616,"[0.8823529411764706, 0.18181818181818182, 0.0, 0.0, 0.0]","[[15, 0, 0, 2, 0], [9, 2, 0, 0, 0], [8, 1, 0, 0, 0], [7, 3, 0, 0, 0], [2, 1, 0, 0, 0]]"
11,0.41950426353054554,0.8639455782312925,0.28,0.22134284016636957,0.22164372469635624,0.26928987854251013,"[0.4117647058823529, 0.2727272727272727, 0.2222222222222222, 0.2, 0.0]","[[7, 4, 0, 6, 0], [5, 3, 2, 1, 0], [4, 3, 2, 0, 0], [5, 3, 0, 2, 0], [2, 1, 0, 0, 0]]"
12,0.2675690632669863,0.9183673469387755,0.28,0.21088532382650027,0.20436363636363636,0.2615272727272728,"[0.47058823529411764, 0.2727272727272727, 0.1111111111111111, 0.2, 0.0]","[[8, 3, 0, 5, 1], [6, 3, 1, 1, 0], [3, 4, 1, 1, 0], [5, 3, 0, 2, 0], [1, 1, 0, 1, 0]]"
