epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
1,2.039206552505493,0.19727891156462585,0.2,0.2,0.06666666666666667,0.06666666666666667,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 17, 0], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
2,1.7770097732543946,0.3197278911564626,0.26,0.18810457516339868,0.16510024057738573,0.21970489174017643,"[0.5294117647058824, 0.0, 0.1111111111111111, 0.3, 0.0]","[[9, 0, 0, 5, 3], [6, 0, 0, 5, 0], [3, 0, 1, 5, 0], [6, 0, 0, 3, 1], [2, 0, 0, 1, 0]]"
3,1.6638951420783996,0.17687074829931973,0.22,0.2,0.07213114754098361,0.07934426229508197,"[0.0, 1.0, 0.0, 0.0, 0.0]","[[0, 17, 0, 0, 0], [0, 11, 0, 0, 0], [0, 9, 0, 0, 0], [0, 10, 0, 0, 0], [0, 3, 0, 0, 0]]"
4,1.712125825881958,0.3673469387755102,0.14,0.14444444444444443,0.08687572590011614,0.08306620209059233,"[0.0, 0.0, 0.2222222222222222, 0.5, 0.0]","[[0, 0, 2, 11, 4], [0, 0, 2, 8, 1], [0, 0, 2, 6, 1], [0, 0, 4, 5, 1], [0, 0, 2, 1, 0]]"
5,1.68127338886261,0.20408163265306123,0.3,0.19572192513368986,0.14945054945054945,0.21978021978021978,"[0.7058823529411765, 0.2727272727272727, 0.0, 0.0, 0.0]","[[12, 2, 0, 0, 3], [7, 3, 0, 0, 1], [5, 4, 0, 0, 0], [8, 1, 0, 0, 1], [3, 0, 0, 0, 0]]"
6,1.4802619099617005,0.3129251700680272,0.2,0.2,0.06666666666666667,0.06666666666666667,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 17, 0], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
7,1.6832393050193786,0.2925170068027211,0.22,0.2,0.07719298245614034,0.08491228070175438,"[0.0, 1.0, 0.0, 0.0, 0.0]","[[0, 14, 0, 0, 3], [0, 11, 0, 0, 0], [0, 9, 0, 0, 0], [0, 9, 0, 0, 1], [0, 3, 0, 0, 0]]"
8,1.5917585015296936,0.3401360544217687,0.2,0.2,0.06779661016949153,0.06779661016949153,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 16, 1], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
9,1.5556199073791503,0.24489795918367346,0.3,0.18288770053475936,0.1222222222222222,0.1877777777777778,"[0.8235294117647058, 0.09090909090909091, 0.0, 0.0, 0.0]","[[14, 0, 0, 0, 3], [10, 1, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
10,1.5616812467575074,0.23809523809523808,0.22,0.2,0.07857142857142857,0.08642857142857142,"[0.0, 1.0, 0.0, 0.0, 0.0]","[[0, 14, 0, 0, 3], [0, 11, 0, 0, 0], [0, 9, 0, 0, 0], [1, 9, 0, 0, 0], [1, 2, 0, 0, 0]]"
11,1.454214096069336,0.3469387755102041,0.26,0.2545454545454545,0.14907407407407408,0.15657407407407406,"[0.0, 0.2727272727272727, 0.0, 1.0, 0.0]","[[0, 1, 1, 15, 0], [0, 3, 0, 8, 0], [0, 1, 0, 8, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
12,1.5204069018363953,0.3333333333333333,0.3,0.18288770053475936,0.12513661202185794,0.19273224043715845,"[0.8235294117647058, 0.09090909090909091, 0.0, 0.0, 0.0]","[[14, 0, 0, 0, 3], [9, 1, 0, 0, 1], [8, 0, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
13,1.375308632850647,0.3945578231292517,0.16,0.16,0.06274509803921569,0.06274509803921569,"[0.0, 0.0, 0.0, 0.8, 0.0]","[[0, 0, 0, 14, 3], [0, 0, 0, 9, 2], [0, 0, 0, 7, 2], [0, 0, 0, 8, 2], [0, 0, 0, 3, 0]]"
14,1.4732410907745361,0.2925170068027211,0.36,0.23101604278074866,0.17058823529411765,0.24764705882352941,"[0.8823529411764706, 0.2727272727272727, 0.0, 0.0, 0.0]","[[15, 1, 0, 0, 1], [8, 3, 0, 0, 0], [7, 2, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
15,1.3024579644203187,0.38095238095238093,0.3,0.21607843137254906,0.18218844984802432,0.24172036474164135,"[0.6470588235294118, 0.0, 0.3333333333333333, 0.1, 0.0]","[[11, 0, 1, 2, 3], [8, 0, 2, 0, 1], [5, 0, 3, 1, 0], [4, 0, 4, 1, 1], [2, 0, 1, 0, 0]]"
16,1.3697639942169189,0.4489795918367347,0.24,0.22222222222222224,0.11636363636363636,0.12072727272727274,"[0.0, 1.0, 0.1111111111111111, 0.0, 0.0]","[[0, 13, 1, 0, 3], [0, 11, 0, 0, 0], [0, 8, 1, 0, 0], [0, 9, 0, 0, 1], [0, 3, 0, 0, 0]]"
17,1.3030122637748718,0.36054421768707484,0.34,0.20641711229946522,0.1317948717948718,0.20405128205128206,"[0.9411764705882353, 0.09090909090909091, 0.0, 0.0, 0.0]","[[16, 0, 0, 0, 1], [10, 1, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
18,1.365195882320404,0.4489795918367347,0.22,0.2212121212121212,0.186996336996337,0.19056776556776556,"[0.0, 0.2727272727272727, 0.3333333333333333, 0.5, 0.0]","[[0, 0, 5, 11, 1], [0, 3, 3, 5, 0], [0, 0, 3, 6, 0], [1, 0, 3, 5, 1], [0, 0, 1, 2, 0]]"
19,1.4044396996498107,0.4013605442176871,0.22,0.2202020202020202,0.1260545905707196,0.12575682382133996,"[0.0, 0.5454545454545454, 0.5555555555555556, 0.0, 0.0]","[[0, 11, 6, 0, 0], [0, 6, 5, 0, 0], [0, 4, 5, 0, 0], [0, 5, 5, 0, 0], [0, 2, 1, 0, 0]]"
20,1.4895103812217712,0.3741496598639456,0.28,0.2507308377896613,0.2003875968992248,0.23899224806201552,"[0.5294117647058824, 0.09090909090909091, 0.0, 0.3, 0.3333333333333333]","[[9, 0, 0, 5, 3], [6, 1, 0, 3, 1], [3, 0, 0, 3, 3], [6, 0, 0, 3, 1], [2, 0, 0, 0, 1]]"
21,1.2079650640487671,0.4897959183673469,0.36,0.2682471776589424,0.23069908814589662,0.298855116514691,"[0.7058823529411765, 0.09090909090909091, 0.4444444444444444, 0.1, 0.0]","[[12, 0, 3, 2, 0], [7, 1, 3, 0, 0], [4, 0, 4, 1, 0], [5, 0, 4, 1, 0], [2, 0, 1, 0, 0]]"
22,1.2393292367458344,0.5170068027210885,0.2,0.23575757575757575,0.14837606837606837,0.14082051282051283,"[0.0, 0.5454545454545454, 0.0, 0.3, 0.3333333333333333]","[[0, 6, 0, 7, 4], [0, 6, 0, 3, 2], [0, 3, 0, 2, 4], [0, 3, 0, 3, 4], [0, 1, 0, 1, 1]]"
23,1.3234429717063905,0.5374149659863946,0.24,0.27403446226975636,0.20909718301022648,0.20389233954451347,"[0.11764705882352941, 0.36363636363636365, 0.5555555555555556, 0.0, 0.3333333333333333]","[[2, 5, 7, 1, 2], [1, 4, 6, 0, 0], [1, 2, 5, 0, 1], [1, 0, 7, 0, 2], [1, 0, 1, 0, 1]]"
24,1.1185875356197357,0.5102040816326531,0.28,0.24802139037433157,0.1895048041389505,0.23435328898743535,"[0.17647058823529413, 0.36363636363636365, 0.0, 0.7, 0.0]","[[3, 6, 0, 7, 1], [0, 4, 0, 7, 0], [0, 1, 0, 8, 0], [2, 1, 0, 7, 0], [0, 1, 0, 2, 0]]"
25,1.2851746141910554,0.5170068027210885,0.18,0.22424242424242422,0.14784946236559138,0.12596774193548388,"[0.0, 0.45454545454545453, 0.3333333333333333, 0.0, 0.3333333333333333]","[[0, 8, 3, 3, 3], [0, 5, 4, 1, 1], [0, 3, 3, 1, 2], [0, 4, 4, 0, 2], [1, 0, 1, 0, 1]]"
26,1.1265343129634857,0.54421768707483,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
27,1.310397744178772,0.47619047619047616,0.24,0.27474747474747474,0.17392344497607656,0.14289473684210527,"[0.0, 0.8181818181818182, 0.2222222222222222, 0.0, 0.3333333333333333]","[[0, 12, 3, 0, 2], [0, 9, 1, 1, 0], [0, 6, 2, 1, 0], [0, 4, 4, 0, 2], [0, 2, 0, 0, 1]]"
28,1.2064351856708526,0.4897959183673469,0.22,0.2624242424242424,0.2039097744360902,0.16505263157894734,"[0.0, 0.5454545454545454, 0.3333333333333333, 0.1, 0.3333333333333333]","[[0, 9, 2, 4, 2], [0, 6, 3, 2, 0], [0, 5, 3, 1, 0], [1, 3, 4, 1, 1], [0, 1, 0, 1, 1]]"
29,1.2028843760490417,0.5102040816326531,0.3,0.1764705882352941,0.09523809523809523,0.16190476190476188,"[0.8823529411764706, 0.0, 0.0, 0.0, 0.0]","[[15, 0, 0, 0, 2], [10, 0, 0, 0, 1], [8, 0, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
30,1.1286086559295654,0.5034013605442177,0.22,0.24292335115864527,0.1892752408881441,0.20200251361541685,"[0.11764705882352941, 0.36363636363636365, 0.0, 0.4, 0.3333333333333333]","[[2, 5, 0, 7, 3], [1, 4, 0, 5, 1], [0, 1, 0, 5, 3], [1, 1, 1, 4, 3], [1, 0, 1, 0, 1]]"
31,1.0960151374340057,0.5986394557823129,0.2,0.23030303030303031,0.11295938104448741,0.09516441005802707,"[0.0, 0.8181818181818182, 0.0, 0.0, 0.3333333333333333]","[[0, 13, 1, 0, 3], [1, 9, 0, 0, 1], [0, 6, 0, 1, 2], [1, 7, 1, 0, 1], [1, 1, 0, 0, 1]]"
32,1.0924863517284393,0.5238095238095238,0.38,0.2427807486631016,0.19063231850117096,0.2726463700234192,"[0.9411764705882353, 0.2727272727272727, 0.0, 0.0, 0.0]","[[16, 0, 0, 0, 1], [7, 3, 0, 0, 1], [8, 0, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
33,1.0710124135017396,0.5782312925170068,0.26,0.27857397504456327,0.2411428571428571,0.2646095238095238,"[0.23529411764705882, 0.09090909090909091, 0.3333333333333333, 0.4, 0.3333333333333333]","[[4, 0, 1, 7, 5], [2, 1, 3, 3, 2], [0, 0, 3, 4, 2], [1, 0, 3, 4, 2], [1, 0, 1, 0, 1]]"
34,1.1452960193157196,0.43537414965986393,0.32,0.2221390374331551,0.19739733950260266,0.2650491613649509,"[0.6470588235294118, 0.36363636363636365, 0.0, 0.1, 0.0]","[[11, 3, 0, 2, 1], [6, 4, 0, 0, 1], [6, 1, 0, 1, 1], [9, 0, 0, 1, 0], [3, 0, 0, 0, 0]]"
35,1.2260008037090302,0.6326530612244898,0.22,0.25575757575757574,0.16092592592592592,0.14975925925925926,"[0.0, 0.5454545454545454, 0.0, 0.4, 0.3333333333333333]","[[0, 7, 0, 7, 3], [0, 6, 0, 3, 2], [0, 4, 0, 2, 3], [0, 3, 0, 4, 3], [0, 1, 0, 1, 1]]"
36,1.160526168346405,0.4489795918367347,0.32,0.2468449197860963,0.2398198198198198,0.31036036036036035,"[0.47058823529411764, 0.36363636363636365, 0.0, 0.4, 0.0]","[[8, 1, 0, 6, 2], [2, 4, 0, 4, 1], [2, 0, 0, 5, 2], [6, 0, 0, 4, 0], [2, 0, 0, 1, 0]]"
37,1.120272010564804,0.5034013605442177,0.34,0.25062388591800355,0.2215873015873016,0.29098412698412696,"[0.6470588235294118, 0.2727272727272727, 0.3333333333333333, 0.0, 0.0]","[[11, 3, 2, 0, 1], [5, 3, 2, 0, 1], [4, 1, 3, 0, 1], [6, 0, 4, 0, 0], [2, 0, 1, 0, 0]]"
38,1.0562193870544434,0.43537414965986393,0.32,0.22032085561497325,0.1646153846153846,0.23184615384615384,"[0.6470588235294118, 0.45454545454545453, 0.0, 0.0, 0.0]","[[11, 5, 0, 0, 1], [6, 5, 0, 0, 0], [6, 3, 0, 0, 0], [9, 1, 0, 0, 0], [3, 0, 0, 0, 0]]"
39,1.1958083987236023,0.5850340136054422,0.2,0.2074747474747475,0.1657980964268997,0.16505539085660792,"[0.0, 0.18181818181818182, 0.5555555555555556, 0.3, 0.0]","[[0, 0, 5, 10, 2], [0, 2, 4, 5, 0], [0, 0, 5, 4, 0], [1, 0, 5, 3, 1], [0, 0, 1, 2, 0]]"
40,1.0324844658374785,0.4557823129251701,0.32,0.18823529411764706,0.09846153846153846,0.16738461538461538,"[0.9411764705882353, 0.0, 0.0, 0.0, 0.0]","[[16, 0, 0, 0, 1], [11, 0, 0, 0, 0], [8, 0, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
41,1.1261137306690217,0.4489795918367347,0.28,0.26125965537730245,0.20205746085963874,0.22072550689610584,"[0.058823529411764705, 0.6363636363636364, 0.1111111111111111, 0.5, 0.0]","[[1, 8, 1, 6, 1], [0, 7, 0, 4, 0], [0, 6, 1, 2, 0], [1, 4, 0, 5, 0], [0, 1, 0, 2, 0]]"
42,1.0387320160865783,0.6666666666666666,0.26,0.2960071301247772,0.24878787878787878,0.2435454545454545,"[0.058823529411764705, 0.45454545454545453, 0.3333333333333333, 0.3, 0.3333333333333333]","[[1, 5, 3, 5, 3], [0, 5, 4, 1, 1], [0, 1, 3, 3, 2], [1, 0, 4, 3, 2], [1, 0, 1, 0, 1]]"
43,0.9708948373794556,0.6870748299319728,0.3,0.2431610219845514,0.24348290598290595,0.3064423076923077,"[0.4117647058823529, 0.18181818181818182, 0.2222222222222222, 0.4, 0.0]","[[7, 0, 2, 7, 1], [3, 2, 1, 4, 1], [1, 0, 2, 6, 0], [3, 0, 3, 4, 0], [1, 0, 1, 1, 0]]"
44,0.9629464864730835,0.5714285714285714,0.36,0.22459893048128343,0.16312576312576313,0.2403907203907204,"[0.9411764705882353, 0.18181818181818182, 0.0, 0.0, 0.0]","[[16, 0, 0, 0, 1], [9, 2, 0, 0, 0], [8, 0, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
45,0.9600029230117798,0.5850340136054422,0.24,0.28464646464646465,0.20879336349924588,0.17469834087481145,"[0.0, 0.5454545454545454, 0.4444444444444444, 0.1, 0.3333333333333333]","[[0, 9, 4, 2, 2], [0, 6, 4, 1, 0], [0, 4, 4, 1, 0], [0, 3, 4, 1, 2], [0, 1, 1, 0, 1]]"
46,0.9307921767234802,0.6190476190476191,0.38,0.25086155674390964,0.20666666666666664,0.278,"[0.9411764705882353, 0.09090909090909091, 0.2222222222222222, 0.0, 0.0]","[[16, 0, 0, 0, 1], [8, 1, 1, 0, 1], [6, 0, 2, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
47,0.9667690992355347,0.5306122448979592,0.32,0.23037433155080214,0.21150278293135436,0.27591836734693875,"[0.5882352941176471, 0.36363636363636365, 0.0, 0.2, 0.0]","[[10, 4, 0, 2, 1], [6, 4, 0, 0, 1], [6, 2, 0, 0, 1], [7, 1, 0, 2, 0], [3, 0, 0, 0, 0]]"
48,0.9998943626880645,0.673469387755102,0.18,0.17676767676767677,0.1522222222222222,0.158,"[0.0, 0.2727272727272727, 0.1111111111111111, 0.5, 0.0]","[[0, 1, 2, 12, 2], [0, 3, 2, 5, 1], [0, 0, 1, 6, 2], [0, 0, 3, 5, 2], [0, 0, 1, 2, 0]]"
49,1.0376143097877502,0.4897959183673469,0.38,0.25086155674390964,0.20666666666666664,0.278,"[0.9411764705882353, 0.09090909090909091, 0.2222222222222222, 0.0, 0.0]","[[16, 0, 0, 0, 1], [8, 1, 1, 0, 1], [6, 0, 2, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
50,0.9419379115104676,0.5510204081632653,0.36,0.23743315508021387,0.1871345029239766,0.2647953216374269,"[0.8235294117647058, 0.36363636363636365, 0.0, 0.0, 0.0]","[[14, 2, 0, 0, 1], [6, 4, 0, 0, 1], [7, 1, 0, 0, 1], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
51,0.9975940644741058,0.6258503401360545,0.22,0.2624242424242424,0.1933333333333333,0.15999999999999998,"[0.0, 0.5454545454545454, 0.3333333333333333, 0.1, 0.3333333333333333]","[[0, 10, 3, 2, 2], [0, 6, 4, 1, 0], [0, 5, 3, 1, 0], [0, 3, 4, 1, 2], [0, 1, 1, 0, 1]]"
52,1.0136411249637605,0.5510204081632653,0.28,0.19037433155080213,0.15462184873949578,0.21714285714285717,"[0.5882352941176471, 0.36363636363636365, 0.0, 0.0, 0.0]","[[10, 4, 0, 1, 2], [6, 4, 0, 0, 1], [6, 1, 0, 0, 2], [9, 1, 0, 0, 0], [3, 0, 0, 0, 0]]"
53,0.8874233663082123,0.5034013605442177,0.32,0.227843137254902,0.17894314381270904,0.2409257525083612,"[0.7058823529411765, 0.0, 0.3333333333333333, 0.1, 0.0]","[[12, 0, 3, 2, 0], [8, 0, 3, 0, 0], [6, 0, 3, 0, 0], [5, 0, 4, 1, 0], [2, 0, 1, 0, 0]]"
54,0.9355374634265899,0.6462585034013606,0.2,0.23030303030303031,0.10736497545008183,0.0934860883797054,"[0.0, 0.8181818181818182, 0.0, 0.0, 0.3333333333333333]","[[0, 13, 1, 0, 3], [1, 9, 0, 0, 1], [0, 6, 0, 1, 2], [0, 7, 0, 0, 3], [1, 1, 0, 0, 1]]"
55,0.8938902854919434,0.6190476190476191,0.3,0.2620083184789067,0.24958323410335792,0.29899499880924035,"[0.23529411764705882, 0.36363636363636365, 0.1111111111111111, 0.6, 0.0]","[[4, 2, 1, 9, 1], [0, 4, 0, 6, 1], [1, 0, 1, 6, 1], [3, 0, 1, 6, 0], [1, 0, 1, 1, 0]]"
56,0.8176165282726288,0.6938775510204082,0.32,0.25351158645276295,0.24695970695970698,0.30457875457875455,"[0.47058823529411764, 0.36363636363636365, 0.3333333333333333, 0.1, 0.0]","[[8, 4, 2, 2, 1], [5, 4, 1, 0, 1], [4, 1, 3, 0, 1], [4, 1, 4, 1, 0], [2, 0, 1, 0, 0]]"
57,0.7982620179653168,0.7959183673469388,0.36,0.2876530005941771,0.29859740259740264,0.3518337662337662,"[0.47058823529411764, 0.5454545454545454, 0.2222222222222222, 0.2, 0.0]","[[8, 6, 0, 2, 1], [4, 6, 0, 0, 1], [5, 1, 2, 0, 1], [7, 1, 0, 2, 0], [3, 0, 0, 0, 0]]"
58,0.8231192767620087,0.7210884353741497,0.28,0.20684491978609626,0.1943604108309991,0.2517572362278245,"[0.47058823529411764, 0.36363636363636365, 0.0, 0.2, 0.0]","[[8, 4, 0, 3, 2], [6, 4, 0, 0, 1], [4, 1, 0, 2, 2], [7, 1, 0, 2, 0], [3, 0, 0, 0, 0]]"
59,0.7863288283348083,0.7414965986394558,0.36,0.26420677361853834,0.2433397807865893,0.31470793036750483,"[0.7058823529411765, 0.18181818181818182, 0.3333333333333333, 0.1, 0.0]","[[12, 1, 2, 1, 1], [6, 2, 3, 0, 0], [5, 1, 3, 0, 0], [5, 0, 4, 1, 0], [2, 0, 1, 0, 0]]"
60,0.7606407761573791,0.7414965986394558,0.24,0.2176232917409388,0.1601002506265664,0.17743358395989975,"[0.058823529411764705, 0.8181818181818182, 0.1111111111111111, 0.1, 0.0]","[[1, 10, 0, 4, 2], [0, 9, 0, 2, 0], [0, 7, 1, 1, 0], [2, 7, 0, 1, 0], [1, 1, 0, 1, 0]]"
61,0.7840516567230225,0.7210884353741497,0.32,0.3061913250148544,0.297985347985348,0.31586080586080584,"[0.4117647058823529, 0.36363636363636365, 0.2222222222222222, 0.2, 0.3333333333333333]","[[7, 4, 1, 3, 2], [5, 4, 1, 0, 1], [4, 1, 2, 1, 1], [5, 1, 2, 2, 0], [1, 0, 1, 0, 1]]"
62,0.7692736268043519,0.7142857142857143,0.34,0.2685086155674391,0.24646396396396394,0.3125720720720721,"[0.5294117647058824, 0.09090909090909091, 0.2222222222222222, 0.5, 0.0]","[[9, 0, 0, 7, 1], [4, 1, 2, 4, 0], [2, 0, 2, 5, 0], [4, 0, 1, 5, 0], [1, 0, 1, 1, 0]]"
