epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix
1,2.0944283246994018,0.17687074829931973,0.2,0.2,0.06666666666666667,0.06666666666666667,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 17, 0], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
2,1.8045814037322998,0.3129251700680272,0.36,0.23647058823529413,0.16565656565656567,0.24343434343434342,"[0.8823529411764706, 0.0, 0.0, 0.3, 0.0]","[[15, 0, 0, 1, 1], [6, 0, 0, 5, 0], [7, 0, 0, 2, 0], [7, 0, 0, 3, 0], [2, 0, 0, 1, 0]]"
3,1.6927157163619995,0.1564625850340136,0.22,0.2,0.07213114754098361,0.07934426229508197,"[0.0, 1.0, 0.0, 0.0, 0.0]","[[0, 17, 0, 0, 0], [0, 11, 0, 0, 0], [0, 9, 0, 0, 0], [0, 10, 0, 0, 0], [0, 3, 0, 0, 0]]"
4,1.7722629189491272,0.30612244897959184,0.24,0.29333333333333333,0.17274807572290413,0.1420761389640108,"[0.0, 0.0, 0.3333333333333333, 0.8, 0.3333333333333333]","[[0, 0, 8, 6, 3], [0, 0, 2, 7, 2], [0, 0, 3, 6, 0], [0, 0, 0, 8, 2], [0, 0, 1, 1, 1]]"
5,1.7227115631103516,0.2585034013605442,0.42,0.3048128342245989,0.21575757575757573,0.30133333333333334,"[0.7058823529411765, 0.8181818181818182, 0.0, 0.0, 0.0]","[[12, 5, 0, 0, 0], [2, 9, 0, 0, 0], [3, 6, 0, 0, 0], [9, 1, 0, 0, 0], [2, 1, 0, 0, 0]]"
6,1.5340266227722168,0.29931972789115646,0.2,0.2,0.06666666666666667,0.06666666666666667,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 17, 0], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
7,1.7578045725822449,0.2585034013605442,0.22,0.2,0.07333333333333333,0.08066666666666666,"[0.0, 1.0, 0.0, 0.0, 0.0]","[[0, 17, 0, 0, 0], [0, 11, 0, 0, 0], [0, 9, 0, 0, 0], [0, 9, 0, 0, 1], [0, 3, 0, 0, 0]]"
8,1.6434885740280152,0.3129251700680272,0.2,0.2,0.06666666666666667,0.06666666666666667,"[0.0, 0.0, 0.0, 1.0, 0.0]","[[0, 0, 0, 17, 0], [0, 0, 0, 11, 0], [0, 0, 0, 9, 0], [0, 0, 0, 10, 0], [0, 0, 0, 3, 0]]"
9,1.6231213092803956,0.2653061224489796,0.34,0.2,0.10149253731343284,0.17253731343283582,"[1.0, 0.0, 0.0, 0.0, 0.0]","[[17, 0, 0, 0, 0], [11, 0, 0, 0, 0], [9, 0, 0, 0, 0], [10, 0, 0, 0, 0], [3, 0, 0, 0, 0]]"
10,1.625853705406189,0.23809523809523808,0.26,0.27201426024955433,0.1949659863945578,0.17046258503401363,"[0.11764705882352941, 0.9090909090909091, 0.0, 0.0, 0.3333333333333333]","[[2, 13, 2, 0, 0], [1, 10, 0, 0, 0], [1, 8, 0, 0, 0], [2, 6, 1, 0, 1], [1, 1, 0, 0, 1]]"
