epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,0.961112093925476,0.5302013422818792,0.2857142857142857,0.5138888888888888,0.24014178112538767,0.15279448066333312,"[0.027777777777777776, 1.0]","[[1, 35], [0, 13]]",0.3782051282051282,0.25299977190727563
2,0.8143811404705048,0.47651006711409394,0.5918367346938775,0.4519230769230769,0.44819819819819817,0.5803456517742233,"[0.75, 0.15384615384615385]","[[27, 9], [11, 2]]",0.3653846153846154,0.24459761005683794
3,0.7708328157663346,0.825503355704698,0.5102040816326531,0.44551282051282054,0.4431818181818182,0.5338589981447125,"[0.5833333333333334, 0.3076923076923077]","[[21, 15], [9, 4]]",0.4017094017094017,0.2556122942858684
4,0.6868305146694184,0.738255033557047,0.2857142857142857,0.48931623931623935,0.25467188179052586,0.18327435276587817,"[0.05555555555555555, 0.9230769230769231]","[[2, 34], [1, 12]]",0.41025641025641024,0.29675939000333407
5,0.7010816752910614,0.5637583892617449,0.3469387755102041,0.5064102564102564,0.3400673400673401,0.3084587370301656,"[0.16666666666666666, 0.8461538461538461]","[[6, 30], [2, 11]]",0.41666666666666663,0.2975987075159908
6,0.6953074157238006,0.5637583892617449,0.7346938775510204,0.5,0.4235294117647059,0.622328931572629,"[1.0, 0.0]","[[36, 0], [13, 0]]",0.405982905982906,0.2918396988627013
7,0.7862073123455048,0.5570469798657718,0.5918367346938775,0.4273504273504274,0.4138755980861244,0.5654721218630993,"[0.7777777777777778, 0.07692307692307693]","[[28, 8], [12, 1]]",0.42307692307692313,0.2979922409373573
8,0.8813809335231781,0.7248322147651006,0.2653061224489796,0.5,0.20967741935483872,0.11125740618828177,"[0.0, 1.0]","[[0, 36], [0, 13]]",0.45299145299145305,0.27144069375863694
9,0.6191416144371032,0.5704697986577181,0.7346938775510204,0.5,0.4235294117647059,0.622328931572629,"[1.0, 0.0]","[[36, 0], [13, 0]]",0.39743589743589747,0.23834263074217238
10,0.7749008595943451,0.5503355704697986,0.7346938775510204,0.5,0.4235294117647059,0.622328931572629,"[1.0, 0.0]","[[36, 0], [13, 0]]",0.3995726495726496,0.23862562378075164
