epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,0.8658245623111724,0.3918918918918919,0.8125,0.5,0.4482758620689655,0.728448275862069,"[1.0, 0.0]","[[39, 0], [9, 0]]",0.5156695156695157,0.20524039834883434
2,0.8357919931411744,0.47297297297297297,0.7916666666666666,0.48717948717948717,0.4418604651162791,0.7180232558139535,"[0.9743589743589743, 0.0]","[[38, 1], [9, 0]]",0.5213675213675214,0.21365827425397677
3,0.8110604286193848,0.6486486486486487,0.1875,0.5,0.15789473684210525,0.05921052631578947,"[0.0, 1.0]","[[0, 39], [0, 9]]",0.6011396011396012,0.26037425107192547
4,0.681920462846756,0.6013513513513513,0.8125,0.5,0.4482758620689655,0.728448275862069,"[1.0, 0.0]","[[39, 0], [9, 0]]",0.5811965811965811,0.23600462061979055
5,0.6939577043056488,0.581081081081081,0.625,0.641025641025641,0.5636363636363637,0.6659090909090909,"[0.6153846153846154, 0.6666666666666666]","[[24, 15], [3, 6]]",0.6182336182336182,0.25553476737687264
6,0.6666659116744995,0.5540540540540541,0.8125,0.5,0.4482758620689655,0.728448275862069,"[1.0, 0.0]","[[39, 0], [9, 0]]",0.6125356125356125,0.24232191544019502
7,0.950446730852127,0.5608108108108109,0.6041666666666666,0.7136752136752136,0.5728337236533958,0.6451405152224824,"[0.5384615384615384, 0.8888888888888888]","[[21, 18], [1, 8]]",0.6581196581196581,0.27391164138819724
8,0.8293332427740097,0.6013513513513513,0.3125,0.5341880341880342,0.3122014763352149,0.30324576639166306,"[0.1794871794871795, 0.8888888888888888]","[[7, 32], [1, 8]]",0.6666666666666666,0.2827572472694424
9,0.6740533947944641,0.722972972972973,0.6458333333333334,0.5683760683760684,0.540281690140845,0.6779577464788732,"[0.6923076923076923, 0.4444444444444444]","[[27, 12], [5, 4]]",0.6638176638176638,0.28073325851103625
10,0.7413153320550918,0.75,0.1875,0.5,0.15789473684210525,0.05921052631578947,"[0.0, 1.0]","[[0, 39], [0, 9]]",0.678062678062678,0.2902571509592774
11,0.7278999447822571,0.5945945945945946,0.75,0.6324786324786325,0.6210526315789473,0.7592105263157894,"[0.8205128205128205, 0.4444444444444444]","[[32, 7], [5, 4]]",0.6666666666666666,0.28378042799611425
12,0.6790542781352997,0.7364864864864865,0.3125,0.5341880341880342,0.3122014763352149,0.30324576639166306,"[0.1794871794871795, 0.8888888888888888]","[[7, 32], [1, 8]]",0.6552706552706552,0.2776514271636223
13,0.6219095706939697,0.7432432432432432,0.6875,0.594017094017094,0.5711733174508635,0.7107653365098271,"[0.7435897435897436, 0.4444444444444444]","[[29, 10], [5, 4]]",0.6495726495726495,0.2745203496957883
14,0.5444600209593773,0.7972972972972973,0.8125,0.5,0.4482758620689655,0.728448275862069,"[1.0, 0.0]","[[39, 0], [9, 0]]",0.6381766381766381,0.26763649018550983
15,0.7308194011449813,0.5540540540540541,0.7916666666666666,0.48717948717948717,0.4418604651162791,0.7180232558139535,"[0.9743589743589743, 0.0]","[[38, 1], [9, 0]]",0.6353276353276354,0.2703833526419911
16,0.935647439956665,0.668918918918919,0.1875,0.5,0.15789473684210525,0.05921052631578947,"[0.0, 1.0]","[[0, 39], [0, 9]]",0.6552706552706553,0.2820417452321013
17,0.6248516470193863,0.7432432432432432,0.5625,0.6025641025641025,0.5151515151515151,0.6098484848484849,"[0.5384615384615384, 0.6666666666666666]","[[21, 18], [3, 6]]",0.6552706552706553,0.27890381223714555
18,0.5593240708112717,0.8108108108108109,0.7083333333333334,0.4786324786324786,0.475,0.69375,"[0.8461538461538461, 0.1111111111111111]","[[33, 6], [8, 1]]",0.641025641025641,0.2743543910210577
19,0.816995370388031,0.6756756756756757,0.22916666666666666,0.5256410256410257,0.21241685144124167,0.1406319290465632,"[0.05128205128205128, 1.0]","[[2, 37], [0, 9]]",0.6638176638176638,0.28543469387893666
20,0.6617370694875717,0.777027027027027,0.3333333333333333,0.5897435897435898,0.33217391304347826,0.31478260869565217,"[0.1794871794871795, 1.0]","[[7, 32], [0, 9]]",0.660968660968661,0.27680621306352304
21,0.574618948996067,0.581081081081081,0.75,0.46153846153846156,0.42857142857142855,0.6964285714285713,"[0.9230769230769231, 0.0]","[[36, 3], [9, 0]]",0.6438746438746439,0.2725645021260721
22,0.5744124799966812,0.7364864864864865,0.7291666666666666,0.5769230769230769,0.5734791524265208,0.7345352016404649,"[0.8205128205128205, 0.3333333333333333]","[[32, 7], [6, 3]]",0.6324786324786325,0.2684816644375468
23,0.5704906523227692,0.7837837837837838,0.7083333333333334,0.6495726495726496,0.6111111111111112,0.732638888888889,"[0.7435897435897436, 0.5555555555555556]","[[29, 10], [4, 5]]",0.6353276353276354,0.26927390052390054
24,0.5852557480335235,0.7567567567567568,0.7083333333333334,0.6495726495726496,0.6111111111111112,0.732638888888889,"[0.7435897435897436, 0.5555555555555556]","[[29, 10], [4, 5]]",0.6467236467236467,0.28669780215832846
25,0.5291415631771088,0.8243243243243243,0.2916666666666667,0.5641025641025641,0.2867132867132867,0.24956293706293706,"[0.1282051282051282, 1.0]","[[5, 34], [0, 9]]",0.6552706552706553,0.2954183602740479
26,0.5142974466085434,0.7094594594594594,0.7083333333333334,0.5213675213675213,0.5213675213675213,0.7083333333333334,"[0.8205128205128205, 0.2222222222222222]","[[32, 7], [7, 2]]",0.641025641025641,0.29096918508683217
27,0.5755488783121109,0.6959459459459459,0.625,0.641025641025641,0.5636363636363637,0.6659090909090909,"[0.6153846153846154, 0.6666666666666666]","[[24, 15], [3, 6]]",0.6467236467236467,0.2931055420219507
28,0.518553951382637,0.8648648648648649,0.3125,0.5769230769230769,0.30980392156862746,0.282843137254902,"[0.15384615384615385, 1.0]","[[6, 33], [0, 9]]",0.6467236467236467,0.29216050066943905
29,0.5193112045526505,0.6959459459459459,0.7291666666666666,0.5769230769230769,0.5734791524265208,0.7345352016404649,"[0.8205128205128205, 0.3333333333333333]","[[32, 7], [6, 3]]",0.6438746438746439,0.3075929517105988
30,0.5052396982908249,0.8581081081081081,0.7083333333333334,0.5213675213675213,0.5213675213675213,0.7083333333333334,"[0.8205128205128205, 0.2222222222222222]","[[32, 7], [7, 2]]",0.641025641025641,0.30578399990164695
31,0.5432502180337906,0.7702702702702703,0.3541666666666667,0.6025641025641025,0.3538862353452019,0.34547329570125923,"[0.20512820512820512, 1.0]","[[8, 31], [0, 9]]",0.6353276353276354,0.29320790718640183
32,0.5167250573635102,0.7635135135135135,0.3958333333333333,0.5854700854700854,0.39346405228758174,0.41715686274509806,"[0.28205128205128205, 0.8888888888888888]","[[11, 28], [1, 8]]",0.6296296296296297,0.30133699194586705
33,0.527635008096695,0.6554054054054054,0.7083333333333334,0.5213675213675213,0.5213675213675213,0.7083333333333334,"[0.8205128205128205, 0.2222222222222222]","[[32, 7], [7, 2]]",0.6296296296296297,0.3005228213561547
34,0.4707471430301666,0.7837837837837838,0.7083333333333334,0.5213675213675213,0.5213675213675213,0.7083333333333334,"[0.8205128205128205, 0.2222222222222222]","[[32, 7], [7, 2]]",0.6267806267806267,0.298480337696024
35,0.456775438785553,0.918918918918919,0.6875,0.5512820512820513,0.5428571428571429,0.7035714285714286,"[0.7692307692307693, 0.3333333333333333]","[[30, 9], [6, 3]]",0.6239316239316239,0.29703733625302253
36,0.49291812479496,0.8918918918918919,0.6458333333333334,0.5683760683760684,0.540281690140845,0.6779577464788732,"[0.6923076923076923, 0.4444444444444444]","[[27, 12], [5, 4]]",0.6239316239316239,0.29703733625302253
37,0.4784702092409134,0.8918918918918919,0.3958333333333333,0.6282051282051282,0.3955709943551889,0.4034411636995224,"[0.2564102564102564, 1.0]","[[10, 29], [0, 9]]",0.621082621082621,0.2942451883628354
38,0.49051013588905334,0.7905405405405406,0.7291666666666666,0.5769230769230769,0.5734791524265208,0.7345352016404649,"[0.8205128205128205, 0.3333333333333333]","[[32, 7], [6, 3]]",0.6239316239316239,0.29492517825851156
