epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,0.7324268192052841,0.5510204081632653,0.9,0.5,0.47368421052631576,0.8526315789473684,"[1.0, 0.0]","[[45, 0], [5, 0]]",0.5466666666666666,0.1473350295025172
2,0.6974506437778473,0.5918367346938775,0.5,0.5444444444444444,0.415614773258532,0.5932678821879382,"[0.4888888888888889, 0.6]","[[22, 23], [2, 3]]",0.5511111111111111,0.14328848780891668
3,0.7866767168045044,0.6258503401360545,0.56,0.5777777777777777,0.45436507936507936,0.6464285714285714,"[0.5555555555555556, 0.6]","[[25, 20], [2, 3]]",0.5555555555555556,0.14549437016185784
4,0.6604250907897949,0.8503401360544217,0.34,0.5444444444444445,0.31789995866060355,0.4161223646134766,"[0.28888888888888886, 0.8]","[[13, 32], [1, 4]]",0.5688888888888889,0.1394131231087753
5,0.7450576812028885,0.5714285714285714,0.9,0.5,0.47368421052631576,0.8526315789473684,"[1.0, 0.0]","[[45, 0], [5, 0]]",0.56,0.17151228598037108
6,0.7696449548006058,0.5306122448979592,0.88,0.4888888888888889,0.46808510638297873,0.8425531914893617,"[0.9777777777777777, 0.0]","[[44, 1], [5, 0]]",0.5466666666666666,0.13394818341626852
7,0.6964832693338394,0.7619047619047619,0.8,0.4444444444444444,0.4444444444444444,0.8,"[0.8888888888888888, 0.0]","[[40, 5], [5, 0]]",0.5555555555555556,0.13948804818370036
8,0.6685482263565063,0.7414965986394558,0.78,0.6111111111111112,0.5686274509803921,0.8101960784313726,"[0.8222222222222222, 0.4]","[[37, 8], [3, 2]]",0.5555555555555556,0.14388198757763976
9,0.6094295114278794,0.891156462585034,0.8,0.4444444444444444,0.4444444444444444,0.8,"[0.8888888888888888, 0.0]","[[40, 5], [5, 0]]",0.56,0.14870209339774557
10,0.5832242369651794,0.7687074829931972,0.82,0.45555555555555555,0.45054945054945056,0.810989010989011,"[0.9111111111111111, 0.0]","[[41, 4], [5, 0]]",0.5733333333333334,0.1540764790764791
11,0.6604677915573121,0.8639455782312925,0.22,0.4777777777777778,0.2171818546768366,0.2547571256523485,"[0.15555555555555556, 0.8]","[[7, 38], [1, 4]]",0.528888888888889,0.1370503352856294
12,0.5769388437271118,0.7755102040816326,0.68,0.5555555555555556,0.5,0.74,"[0.7111111111111111, 0.4]","[[32, 13], [3, 2]]",0.5555555555555556,0.14355211024978468
