epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,1.0150967516005038,0.49324324324324326,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.5909090909090908,0.23045084996304507
2,1.0587497651576996,0.4391891891891892,0.6875,0.6022727272727273,0.5078605604921395,0.755639097744361,"[0.7045454545454546, 0.5]","[[31, 13], [2, 2]]",0.6079545454545455,0.1508980938416422
3,0.7739102870225907,0.7297297297297297,0.8958333333333334,0.48863636363636365,0.4725274725274725,0.8663003663003663,"[0.9772727272727273, 0.0]","[[43, 1], [4, 0]]",0.5625,0.14845559845559847
4,0.7565949857234955,0.7567567567567568,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.5511363636363636,0.10986652236652238
5,0.7347165912389755,0.5405405405405406,0.875,0.4772727272727273,0.4666666666666667,0.8555555555555556,"[0.9545454545454546, 0.0]","[[42, 2], [4, 0]]",0.5056818181818181,0.12477106227106226
6,0.704196035861969,0.5472972972972973,0.6875,0.48863636363636365,0.4638868205510052,0.7524199553239016,"[0.7272727272727273, 0.25]","[[32, 12], [3, 1]]",0.5113636363636365,0.12147435897435897
7,0.7437021389603615,0.7905405405405406,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.4772727272727273,0.09390508684863523
8,0.702430808544159,0.4864864864864865,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4715909090909091,0.11591420966420968
9,0.8060286819934845,0.5608108108108109,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.49431818181818177,0.11589351187629524
10,0.606055760383606,0.7027027027027027,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.4943181818181818,0.1182313041495668
11,0.827862024307251,0.6148648648648649,0.6041666666666666,0.4431818181818182,0.42095238095238097,0.6923809523809523,"[0.6363636363636364, 0.25]","[[28, 16], [3, 1]]",0.4772727272727273,0.09680579836829836
12,0.6778088450431824,0.7837837837837838,0.4583333333333333,0.4772727272727273,0.3696969696969697,0.5666666666666668,"[0.45454545454545453, 0.5]","[[20, 24], [2, 2]]",0.4431818181818182,0.09116477272727272
13,0.6343097388744354,0.7297297297297297,0.8541666666666666,0.4659090909090909,0.4606741573033708,0.8445692883895131,"[0.9318181818181818, 0.0]","[[41, 3], [4, 0]]",0.4431818181818182,0.09404761904761905
14,0.6534191787242889,0.8175675675675675,0.2708333333333333,0.48863636363636365,0.2549889135254989,0.34552845528455284,"[0.22727272727272727, 0.75]","[[10, 34], [1, 3]]",0.3977272727272727,0.08354174561071112
15,0.6068280845880508,0.8108108108108109,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.38636363636363635,0.08255561840120663
16,0.6971247173845768,0.4864864864864865,0.9166666666666666,0.5,0.4782608695652174,0.8768115942028986,"[1.0, 0.0]","[[44, 0], [4, 0]]",0.5056818181818182,0.13274258421317245
17,0.816101337224245,0.6283783783783784,0.16666666666666666,0.5454545454545454,0.16666666666666666,0.16666666666666666,"[0.09090909090909091, 1.0]","[[4, 40], [0, 4]]",0.4147727272727273,0.08546252509100806
18,0.6396980822086334,0.8243243243243243,0.75,0.4090909090909091,0.42857142857142855,0.7857142857142857,"[0.8181818181818182, 0.0]","[[36, 8], [4, 0]]",0.4431818181818182,0.09266826923076923
19,0.5576378554105759,0.8851351351351351,0.08333333333333333,0.5,0.07692307692307693,0.012820512820512822,"[0.0, 1.0]","[[0, 44], [0, 4]]",0.3693181818181818,0.07927005789909015
