epoch,train_loss,train_accuracy,accuracy,balanced_accuracy,macro_f1,weighted_f1,per_class_recall,confusion_matrix,auroc,average_precision
1,0.8738565444946289,0.48299319727891155,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.4491978609625668,0.31683127691184154
2,1.0482594668865204,0.47619047619047616,0.64,0.48484848484848486,0.3902439024390244,0.5151219512195122,"[0.9696969696969697, 0.0]","[[32, 1], [17, 0]]",0.47058823529411764,0.32618287202444396
3,0.7506499052047729,0.5578231292517006,0.56,0.45276292335115864,0.4282744282744283,0.5160914760914761,"[0.7878787878787878, 0.11764705882352941]","[[26, 7], [15, 2]]",0.483065953654189,0.334674167973675
4,0.7200804829597474,0.48299319727891155,0.66,0.5,0.39759036144578314,0.5248192771084337,"[1.0, 0.0]","[[33, 0], [17, 0]]",0.48128342245989303,0.33190851163416657
5,0.7358006596565246,0.5034013605442177,0.42,0.517825311942959,0.4084047327621379,0.3819012647898817,"[0.21212121212121213, 0.8235294117647058]","[[7, 26], [3, 14]]",0.4812834224598931,0.33705544222403006
6,0.68520427942276,0.5578231292517006,0.44,0.5187165775401069,0.4363929146537842,0.4219645732689212,"[0.2727272727272727, 0.7647058823529411]","[[9, 24], [4, 13]]",0.48128342245989303,0.33606441715724467
7,0.6732517898082733,0.5782312925170068,0.38,0.5017825311942958,0.3484657419083649,0.3025977301387137,"[0.12121212121212122, 0.8823529411764706]","[[4, 29], [2, 15]]",0.48128342245989303,0.3420199839411514
8,0.6918087363243103,0.5578231292517006,0.54,0.4946524064171123,0.4945054945054945,0.5430329670329671,"[0.6363636363636364, 0.35294117647058826]","[[21, 12], [11, 6]]",0.5044563279857397,0.3641169507753433
9,0.723352974653244,0.5510204081632653,0.64,0.5133689839572192,0.4755244755244755,0.5695104895104895,"[0.9090909090909091, 0.11764705882352941]","[[30, 3], [15, 2]]",0.5115864527629232,0.40180232245078645
10,0.6315224945545197,0.6530612244897959,0.32,0.47058823529411764,0.24242424242424243,0.16484848484848486,"[0.0, 0.9411764705882353]","[[0, 33], [1, 16]]",0.5151515151515151,0.4200731277492446
11,0.6494118064641953,0.5986394557823129,0.64,0.5133689839572192,0.4755244755244755,0.5695104895104895,"[0.9090909090909091, 0.11764705882352941]","[[30, 3], [15, 2]]",0.518716577540107,0.42054735769501306
12,0.6665809154510498,0.6122448979591837,0.58,0.482174688057041,0.4672754946727549,0.5456925418569254,"[0.7878787878787878, 0.17647058823529413]","[[26, 7], [14, 3]]",0.5294117647058824,0.4178016214847989
13,0.6384806573390961,0.6122448979591837,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5258467023172906,0.42331495856145096
14,0.6630415976047516,0.5374149659863946,0.46,0.5623885918003565,0.44920440636474906,0.4245287637698898,"[0.24242424242424243, 0.8823529411764706]","[[8, 25], [2, 15]]",0.552584670231729,0.45378830038114165
15,0.6136412620544434,0.6802721088435374,0.62,0.5552584670231729,0.5558672276764843,0.609873772791024,"[0.7575757575757576, 0.35294117647058826]","[[25, 8], [11, 6]]",0.5383244206773619,0.44426499879021686
16,0.609064245223999,0.6462585034013606,0.62,0.5124777183600713,0.49333333333333335,0.5744,"[0.8484848484848485, 0.17647058823529413]","[[28, 5], [14, 3]]",0.5383244206773619,0.45367153424988327
17,0.6482834935188293,0.5850340136054422,0.68,0.5579322638146168,0.5337995337995338,0.6173426573426574,"[0.9393939393939394, 0.17647058823529413]","[[31, 2], [14, 3]]",0.5204991087344027,0.4167676891403755
18,0.6788620889186859,0.5782312925170068,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.516934046345811,0.4154757869774403
19,0.6581241220235825,0.6190476190476191,0.5,0.5926916221033868,0.4949494949494949,0.47878787878787876,"[0.30303030303030304, 0.8823529411764706]","[[10, 23], [2, 15]]",0.5222816399286987,0.4174873375701363
20,0.7468040883541107,0.5714285714285714,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5311942959001783,0.4355004448370936
21,0.685013222694397,0.5850340136054422,0.34,0.5,0.2537313432835821,0.17253731343283582,"[0.0, 1.0]","[[0, 33], [0, 17]]",0.5311942959001782,0.4391835553906917
22,0.6656397104263305,0.6190476190476191,0.46,0.46256684491978606,0.44920440636474906,0.47388004895960834,"[0.45454545454545453, 0.47058823529411764]","[[15, 18], [9, 8]]",0.5383244206773619,0.42581305888921983
23,0.6272908389568329,0.6122448979591837,0.56,0.4955436720142603,0.4944852941176471,0.5527205882352941,"[0.696969696969697, 0.29411764705882354]","[[23, 10], [12, 5]]",0.5240641711229946,0.4191655490910999
24,0.628137519955635,0.5850340136054422,0.42,0.5320855614973262,0.4005787515502274,0.3660520876395205,"[0.18181818181818182, 0.8823529411764706]","[[6, 27], [2, 15]]",0.5347593582887701,0.4344085919485726
